instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold
J30_6.RCP,0,63.106648199445985,0.10076522827148438,ils,38,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_6.RCP,1,63.36980609418283,0.10122871398925781,ils,38,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_6.RCP,0,59.8961218836565,0.11447596549987793,ts,38,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_6.RCP,1,61.52770083102494,0.11082005500793457,ts,38,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_7.RCP,0,55.358611111111124,0.13644719123840332,ga,60,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_7.RCP,1,52.85861111111112,0.13365888595581055,ga,60,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_7.RCP,0,57.39194444444445,0.1098029613494873,sa,60,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_7.RCP,1,61.191944444444445,0.11045503616333008,sa,60,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_7.RCP,0,59.42527777777779,0.10219407081604004,ils,60,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_7.RCP,1,88.95861111111111,0.10283875465393066,ils,60,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_7.RCP,0,51.79194444444445,0.1150970458984375,ts,60,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_7.RCP,1,51.79194444444444,0.11452007293701172,ts,60,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_8.RCP,0,79.88180847276611,0.1399388313293457,ga,53,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_8.RCP,1,77.42897828408687,0.13794732093811035,ga,53,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_8.RCP,0,80.03275186899252,0.11028480529785156,sa,53,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_8.RCP,1,73.6553933784265,0.11344504356384277,sa,53,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_8.RCP,0,69.24029903880384,0.1071159839630127,ils,53,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_8.RCP,1,82.78746885012458,0.10208320617675781,ils,53,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_8.RCP,0,57.05161979352083,0.11371397972106934,ts,53,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_8.RCP,1,66.03275186899252,0.11192798614501953,ts,53,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_9.RCP,0,93.91666666666667,0.13824892044067383,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_9.RCP,1,107.25,0.13286399841308594,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_9.RCP,0,114.29761904761905,0.1371440887451172,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_9.RCP,1,128.72619047619048,0.10978198051452637,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_9.RCP,0,114.82142857142857,0.10241413116455078,ils,42,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_9.RCP,1,157.82142857142856,0.1041250228881836,ils,42,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_9.RCP,0,85.96428571428571,0.11712932586669922,ts,42,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_9.RCP,1,81.1547619047619,0.11753511428833008,ts,42,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_10.RCP,0,80.27319211102996,0.23891782760620117,ga,37,1000,0,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_10.RCP,1,79.89481373265157,0.13553190231323242,ga,37,1000,1,50.0,0.9,0.1,60.0,,,,,,,,,,,,
J30_10.RCP,0,83.02994886778671,0.13297724723815918,sa,37,1000,0,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_10.RCP,1,82.05697589481375,0.15057992935180664,sa,37,1000,1,,,,60.0,10000.0,0.995,10.0,,,,,,,,,
J30_10.RCP,0,72.1110299488678,0.10131716728210449,ils,37,1000,0,,,,60.0,,,,5.0,100.0,,,,,,,
J30_10.RCP,1,72.38130021913807,0.10061192512512207,ils,37,1000,1,,,,60.0,,,,5.0,100.0,,,,,,,
J30_10.RCP,0,68.38130021913807,0.15583491325378418,ts,37,1000,0,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
J30_10.RCP,1,71.73265157048941,0.11531305313110352,ts,37,1000,1,,,,60.0,,,,,100.0,10.0,20.0,True,static,1.0,4.0,10.0
