instance_id,seed,best_objective,runtime,algorithm_name,deadline,encoding_type,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_local_search_strategy,param_local_search_interval,param_use_delay_factors,param_delay_mutation_rate,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_neighborhood_type,param_min_factor,param_max_factor,param_noimprove_threshold,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_hm_size,param_hmcr,param_par,param_par_min,param_par_max,param_parameter_strategy,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_neighborhood_strategy
J30_1.RCP,0,80.09210526315789,0.9482231140136719,GA_roulette_ox1_swap_random_repair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,True,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.98684210526316,0.9374737739562988,GA_roulette_ox1_swap_random_repair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,True,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,80.09210526315789,0.9296629428863525,GA_roulette_ox1_swap_random_repair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,True,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.98684210526316,0.9209861755371094,GA_roulette_ox1_swap_random_repair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,True,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,80.09210526315789,0.6198630332946777,GA_roulette_ox1_swap_random_noRepair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,False,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.98684210526316,0.6260290145874023,GA_roulette_ox1_swap_random_noRepair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,False,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,80.09210526315789,0.6355509757995605,GA_roulette_ox1_swap_random_noRepair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,False,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,75.98684210526316,0.6290988922119141,GA_roulette_ox1_swap_random_noRepair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,random,3.0,False,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.72368421052632,0.931318998336792,GA_roulette_ox1_swap_forward_repair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,True,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.61842105263158,0.9205026626586914,GA_roulette_ox1_swap_forward_repair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,True,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.72368421052632,0.9344797134399414,GA_roulette_ox1_swap_forward_repair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,True,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.61842105263158,0.9294159412384033,GA_roulette_ox1_swap_forward_repair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,True,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.72368421052632,0.6356332302093506,GA_roulette_ox1_swap_forward_noRepair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,False,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.61842105263158,0.6377968788146973,GA_roulette_ox1_swap_forward_noRepair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,False,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,76.72368421052632,0.6480252742767334,GA_roulette_ox1_swap_forward_noRepair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,False,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,77.61842105263158,0.6354472637176514,GA_roulette_ox1_swap_forward_noRepair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,swap,forward,3.0,False,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,70.51315789473684,0.9383487701416016,GA_roulette_ox1_insertion_random_repair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,True,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.14473684210527,0.9222471714019775,GA_roulette_ox1_insertion_random_repair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,True,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,70.51315789473684,0.9212720394134521,GA_roulette_ox1_insertion_random_repair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,True,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.14473684210527,0.9212980270385742,GA_roulette_ox1_insertion_random_repair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,True,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,70.51315789473684,0.6316280364990234,GA_roulette_ox1_insertion_random_noRepair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,False,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.14473684210527,0.6194071769714355,GA_roulette_ox1_insertion_random_noRepair_elitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,False,True,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,70.51315789473684,0.6174068450927734,GA_roulette_ox1_insertion_random_noRepair_noElitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,False,False,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.14473684210527,0.627849817276001,GA_roulette_ox1_insertion_random_noRepair_noElitism_swap,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,random,3.0,False,False,swap,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,73.25,0.9321861267089844,GA_roulette_ox1_insertion_forward_repair_elitism_none,38,activity_list,1000,0,50.0,0.9,0.1,60.0,roulette,ox1,insertion,forward,3.0,True,True,none,5.0,True,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
