instance_id,seed,best_objective,runtime,algorithm_name,deadline,encoding_type,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_local_search_strategy,param_local_search_interval,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_hm_size,param_hmcr,param_par,param_par_min,param_par_max,param_parameter_strategy,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_neighborhood_strategy
J30_1.RCP,1,93.82894736842105,0.4583449363708496,GA_roulette_arithmetic_gaussian_random_noRepair_elitism_swap,38,shift_vector,1000,1,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,random,3.0,False,True,swap,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,91.77631578947368,0.4754812717437744,GA_roulette_arithmetic_gaussian_random_noRepair_noElitism_none,38,shift_vector,1000,0,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,random,3.0,False,False,none,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,94.25,0.4721059799194336,GA_roulette_arithmetic_gaussian_random_noRepair_noElitism_none,38,shift_vector,1000,1,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,random,3.0,False,False,none,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,91.77631578947368,0.47331905364990234,GA_roulette_arithmetic_gaussian_random_noRepair_noElitism_swap,38,shift_vector,1000,0,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,random,3.0,False,False,swap,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,93.82894736842105,0.4586822986602783,GA_roulette_arithmetic_gaussian_random_noRepair_noElitism_swap,38,shift_vector,1000,1,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,random,3.0,False,False,swap,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,91.77631578947368,0.47634387016296387,GA_roulette_arithmetic_gaussian_zero_repair_elitism_none,38,shift_vector,1000,0,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,zero,3.0,True,True,none,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,94.25,0.46823883056640625,GA_roulette_arithmetic_gaussian_zero_repair_elitism_none,38,shift_vector,1000,1,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,zero,3.0,True,True,none,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,91.77631578947368,0.47509217262268066,GA_roulette_arithmetic_gaussian_zero_repair_elitism_swap,38,shift_vector,1000,0,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,zero,3.0,True,True,swap,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,93.82894736842105,0.45792508125305176,GA_roulette_arithmetic_gaussian_zero_repair_elitism_swap,38,shift_vector,1000,1,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,zero,3.0,True,True,swap,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,91.77631578947368,0.47864317893981934,GA_roulette_arithmetic_gaussian_zero_repair_noElitism_none,38,shift_vector,1000,0,50.0,0.9,0.1,60.0,roulette,arithmetic,gaussian,zero,3.0,True,False,none,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
