instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,rpd
J30_4.RCP,1,52.786776859504144,0.478909969329834,PSO_none_none,55,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_5.RCP,0,77.02185223725284,0.3882558345794678,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,31,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,36.620030270589524
J30_5.RCP,1,84.82830385015606,0.4541597366333008,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,31,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,50.466979216656185
J30_5.RCP,0,86.18314255983348,0.1175696849822998,PR_forward_best_noLS,31,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,52.87016870316362
J30_5.RCP,1,96.11862643080123,0.08672118186950684,PR_forward_best_noLS,31,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,70.49355827088485
J30_5.RCP,0,56.376690946930275,0.5006117820739746,PSO_none_none,31,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,0.0
J30_5.RCP,1,59.27991675338189,0.4545748233795166,PSO_none_none,31,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,,,,,,0.729,1.49445,1.49445,none,30.0,0.01,5.149691756801659
J30_6.RCP,0,68.5803324099723,0.3819007873535156,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,13.997927938298629
J30_6.RCP,1,69.52770083102493,0.37783098220825195,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,15.57269483135722
J30_6.RCP,0,70.2645429362881,0.08005905151367188,PR_forward_best_noLS,38,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,16.79751352595836
