instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J30_7.RCP,1,52.69194444444445,0.37665295600891113,BA_none,60,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_8.RCP,0,59.995016019935925,0.4517099857330322,PSO_none_none,53,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.44799184799194336,PSO_none_none,53,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.3749351501464844,BA_none,53,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.37737131118774414,BA_none,53,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.767525485681731
J30_9.RCP,0,92.29761904761902,0.4476439952850342,PSO_none_none,42,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.206559665038347
J30_9.RCP,1,85.29761904761905,0.45191287994384766,PSO_none_none,42,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_9.RCP,0,86.25,0.3763751983642578,BA_none,42,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,1.1165387299371907
J30_9.RCP,1,85.82142857142857,0.382504940032959,BA_none,42,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.6140963014654507
J30_10.RCP,0,73.67859751643536,0.45244407653808594,PSO_none_none,37,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.1792794451605237
J30_10.RCP,1,73.78670562454347,0.4513227939605713,PSO_none_none,37,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.3306737044538868
J30_10.RCP,0,72.9218407596786,0.38480472564697266,BA_none,37,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.1195196301070225
J30_10.RCP,1,71.40832724616507,0.3794093132019043,BA_none,37,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
