instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_1.RCP,0,63.4078947368421,0.465054988861084,PSO_none_none,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.4559159278869629,PSO_none_none,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.45825624465942383,PSO_none_adaptive,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.4559061527252197,PSO_none_adaptive,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.4563291072845459,PSO_shift_none,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.4587099552154541,PSO_shift_none,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.4552581310272217,PSO_shift_adaptive,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.4607689380645752,PSO_shift_adaptive,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.82894736842106,0.38448619842529297,BA_none,38,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_1.RCP,1,64.14473684210526,0.3797037601470947,BA_none,38,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_1.RCP,0,61.51315789473684,0.31359004974365234,BA_tlim,38,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_1.RCP,1,59.4078947368421,0.3131110668182373,BA_tlim,38,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_1.RCP,0,62.98684210526316,0.40230584144592285,HS_fixed_random,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_1.RCP,1,64.51315789473684,0.4011991024017334,HS_fixed_random,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_1.RCP,0,63.723684210526315,0.3957056999206543,HS_fixed_forward,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_1.RCP,1,62.56578947368421,0.3976109027862549,HS_fixed_forward,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_1.RCP,0,65.03947368421052,0.41500425338745117,HS_adaptive_random,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_1.RCP,1,64.9342105263158,0.41431117057800293,HS_adaptive_random,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_1.RCP,0,62.46052631578947,0.4152822494506836,HS_adaptive_forward,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_1.RCP,1,62.46052631578947,0.46004414558410645,HS_adaptive_forward,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_2.RCP,0,92.65022675736961,0.4655609130859375,PSO_none_none,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.4574131965637207,PSO_none_none,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.4610409736633301,PSO_none_adaptive,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.45562005043029785,PSO_none_adaptive,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.4551980495452881,PSO_shift_none,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.45632100105285645,PSO_shift_none,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.4547140598297119,PSO_shift_adaptive,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.4561893939971924,PSO_shift_adaptive,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_2.RCP,0,97.36451247165535,0.38254594802856445,BA_none,42,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,1,95.36451247165532,0.38182592391967773,BA_none,42,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,0,88.50736961451247,0.3081238269805908,BA_tlim,42,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,1,89.26927437641723,0.3096733093261719,BA_tlim,42,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,0,86.88832199546485,0.39733076095581055,HS_fixed_random,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,1,89.31689342403628,0.3988001346588135,HS_fixed_random,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,0,85.88832199546485,0.39532995223999023,HS_fixed_forward,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_2.RCP,1,80.74546485260771,0.4376182556152344,HS_fixed_forward,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_2.RCP,0,84.41213151927438,0.42113685607910156,HS_adaptive_random,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_2.RCP,1,85.22165532879819,0.41201305389404297,HS_adaptive_random,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_2.RCP,0,81.69784580498866,0.4148142337799072,HS_adaptive_forward,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_2.RCP,1,84.50736961451247,0.4118521213531494,HS_adaptive_forward,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_3.RCP,0,70.64359113034071,0.4561769962310791,PSO_none_none,43,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.45408201217651367,PSO_none_none,43,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.45650506019592285,PSO_none_adaptive,43,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.4589102268218994,PSO_none_adaptive,43,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.45606303215026855,PSO_shift_none,43,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.457155704498291,PSO_shift_none,43,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.4554102420806885,PSO_shift_adaptive,43,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.4564380645751953,PSO_shift_adaptive,43,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_3.RCP,0,74.36452136289887,0.38436365127563477,BA_none,43,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_3.RCP,1,76.6901027582477,0.4288818836212158,BA_none,43,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_3.RCP,0,73.71335857220119,0.3083310127258301,BA_tlim,43,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
