instance_id,seed,best_objective,runtime,algorithm_name,param_max_evaluations,param_max_iterations,param_time_limit,param_seed,param_problem_type,param_population_size,param_n_generations,param_crossover_rate,param_mutation_rate,param_tournament_size,param_crossover,param_mutation,param_elitism,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator,param_perturbation_strength,param_local_search_operator,param_perturbation_operator,param_acceptance
J30_1.RCP,0,35.244166666666665,5.024612665176392,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_1.RCP,1,35.244166666666665,5.0118091106414795,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_1.RCP,0,35.244166666666665,5.000931978225708,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_1.RCP,1,35.244166666666665,5.000135898590088,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_1.RCP,0,34.84334126040428,5.002269983291626,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_1.RCP,1,35.244166666666665,5.00117301940918,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_10.RCP,0,45.123345935727784,5.015046119689941,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_10.RCP,1,45.123345935727784,5.054234981536865,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_10.RCP,0,45.123345935727784,5.000432014465332,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_10.RCP,1,45.123345935727784,5.000705242156982,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_10.RCP,0,45.123345935727784,5.0008368492126465,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_10.RCP,1,45.123345935727784,5.001098871231079,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_100.RCP,0,118.488,5.01111102104187,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_100.RCP,1,126.79430988081508,5.045897006988525,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_100.RCP,0,127.04799999999999,5.000200033187866,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_100.RCP,1,127.04799999999999,5.000456809997559,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_100.RCP,0,126.5160706201901,5.001475811004639,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_100.RCP,1,116.91195693963861,5.001497030258179,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_101.RCP,0,87.29946291188851,5.051457166671753,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_101.RCP,1,94.49245260234271,5.055226802825928,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_101.RCP,0,85.37509130752373,5.00083589553833,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_101.RCP,1,91.39677843523998,5.000191926956177,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_101.RCP,0,99.25918444640827,5.000162839889526,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_101.RCP,1,94.49245260234271,5.00176215171814,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_102.RCP,0,154.58011937557393,5.035360097885132,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_102.RCP,1,154.58011937557393,5.054850816726685,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_102.RCP,0,154.58011937557393,5.003880977630615,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_102.RCP,1,151.15572307081928,5.00087308883667,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_102.RCP,0,154.58011937557393,5.0005152225494385,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_102.RCP,1,154.58011937557393,5.0013768672943115,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
