instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_f_min,param_f_max,param_A0,param_r0,param_gamma,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_3.RCP,0,71.80638182801515,0.7493681907653809,HS_fixed_random,43,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,1.3124761541396235
J30_3.RCP,1,70.87614926987563,0.7456698417663574,HS_fixed_random,43,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_4.RCP,0,72.4595041322314,0.6541881561279297,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,29.67520558480744
J30_4.RCP,1,75.62314049586776,0.6595180034637451,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,35.33692243980359
J30_4.RCP,0,85.1504132231405,0.13619565963745117,PR_forward_best_noLS,55,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,52.38715021002193
J30_4.RCP,1,89.18677685950415,0.18458795547485352,PR_forward_best_noLS,55,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,59.61071999053428
J30_4.RCP,0,55.877685950413216,0.64717698097229,BA_none,55,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,0.0
J30_4.RCP,1,56.8595041322314,0.656080961227417,BA_none,55,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,1.7570845412057075
J30_4.RCP,0,59.1504132231405,0.7440969944000244,HS_fixed_random,55,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,5.856948470685692
J30_4.RCP,1,62.82314049586776,0.7428309917449951,HS_fixed_random,55,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,12.429746198899604
J60_1.RCP,0,114.60313712261764,1.169734001159668,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,77,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,54.369487875028966
J60_1.RCP,1,111.74599426547478,1.182175874710083,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,77,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,50.52093982724698
J60_1.RCP,0,132.6550851745657,0.3455631732940674,PR_forward_best_noLS,77,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,78.68531417692417
J60_1.RCP,1,118.23950075898128,0.3712127208709717,PR_forward_best_noLS,77,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,59.26763993584239
J60_1.RCP,0,74.23950075898128,1.220750093460083,BA_none,77,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,0.0
J60_1.RCP,1,92.21352673300726,1.2252569198608398,BA_none,77,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,24.210865900592054
J60_1.RCP,0,84.60313712261764,1.4524495601654053,HS_fixed_random,77,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,13.959733373318242
J60_1.RCP,1,86.78495530443583,1.4326651096343994,HS_fixed_random,77,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,16.8986246098063
J60_2.RCP,0,121.25254437869822,1.2897818088531494,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,65,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,23.235394585544434
J60_2.RCP,1,132.91408284023672,1.2727179527282715,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,65,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,35.087634892302674
J60_2.RCP,0,163.96023668639052,0.26270222663879395,PR_forward_best_noLS,65,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,66.64148837388318
J60_2.RCP,1,165.9294674556213,0.29615283012390137,PR_forward_best_noLS,65,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,68.64292209323023
J60_2.RCP,0,131.59100591715978,1.2320990562438965,BA_none,65,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,33.74292161211637
J60_2.RCP,1,99.86792899408285,1.2168209552764893,BA_none,65,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,1.5010752895102686
J60_2.RCP,0,106.79100591715978,1.4070839881896973,HS_fixed_random,65,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,8.53736570908969
J60_2.RCP,1,98.39100591715977,1.4074668884277344,HS_fixed_random,65,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J60_3.RCP,0,152.31944753842726,1.2224202156066895,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,40.08014389845161
J60_3.RCP,1,160.37914903096458,1.214043140411377,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,47.492225304329665
J60_3.RCP,0,188.43885052350188,0.33865785598754883,PR_forward_best_noLS,67,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,73.29724945812727
J60_3.RCP,1,159.2746714190243,0.28116393089294434,PR_forward_best_noLS,67,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,46.476495630190826
J60_3.RCP,0,109.57317888171085,1.2316410541534424,BA_none,67,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,0.7686602939429082
J60_3.RCP,1,125.69258186678547,1.2333219051361084,BA_none,67,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,15.592823105698988
J60_3.RCP,0,121.78213410559144,1.404529333114624,HS_fixed_random,67,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,11.996591016180378
J60_3.RCP,1,108.73735798618846,1.408837080001831,HS_fixed_random,67,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J90_1.RCP,0,191.2073958565382,1.6401808261871338,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,32.880762919156574
J90_1.RCP,1,183.23724660280686,1.6537399291992188,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,67,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,27.341858376939037
J90_1.RCP,0,233.44620182668743,0.36725783348083496,PR_forward_best_noLS,67,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,62.234882496826316
J90_1.RCP,1,170.8491869013143,0.5719988346099854,PR_forward_best_noLS,67,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,18.732699631544715
J90_1.RCP,0,143.8939630207173,1.7920169830322266,BA_none,67,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,0.0
J90_1.RCP,1,146.1924704834039,1.8060638904571533,BA_none,67,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,1.5973619840852227
J90_1.RCP,0,155.23724660280683,2.0654120445251465,HS_fixed_random,67,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,7.88308511626465
J90_1.RCP,1,159.65515705056805,2.0692830085754395,HS_fixed_random,67,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,10.953339319441431
J90_2.RCP,0,111.1433367768595,1.7037990093231201,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,88,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,33.31237163541515
J90_2.RCP,1,118.23424586776859,1.7154762744903564,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,88,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,41.81765801041476
J90_2.RCP,0,139.98424586776858,0.4802391529083252,PR_forward_best_noLS,88,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,67.90598833373086
J90_2.RCP,1,116.71151859504131,0.4159369468688965,PR_forward_best_noLS,88,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,39.99120228245009
J90_2.RCP,0,83.37060950413223,1.7917699813842773,BA_none,88,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,0.0
J90_2.RCP,1,102.8024276859504,1.7854950428009033,BA_none,88,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,23.307755931489314
J90_2.RCP,0,99.27970041322314,2.065464735031128,HS_fixed_random,88,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,19.082373277242716
J90_2.RCP,1,96.16606404958678,2.073697805404663,HS_fixed_random,88,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,15.347680221553789
j120_1.rcp,0,199.90572390572393,2.2021291255950928,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,99,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,39.42325756152547
j120_1.rcp,1,208.5925925925926,2.18393874168396,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,99,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,45.481871125305275
j120_1.rcp,0,250.51178451178453,0.6271979808807373,PR_forward_best_noLS,99,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,74.7182040202893
j120_1.rcp,1,211.3602693602694,0.8391039371490479,PR_forward_best_noLS,99,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,,,,,,,47.41217358632352
j120_1.rcp,0,167.0976430976431,2.3658339977264404,BA_none,99,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,16.541424009017465
j120_1.rcp,1,150.20875420875421,2.3646342754364014,BA_none,99,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,4.762352057110649
j120_1.rcp,0,161.0976430976431,2.7254269123077393,HS_fixed_random,99,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,12.356753710313727
j120_1.rcp,1,143.3804713804714,2.7321691513061523,HS_fixed_random,99,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
