instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J60_1.RCP,0,83.82391634339685,1.4749720096588135,PSO_none_none,77,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,12.910129360286776
J60_1.RCP,1,75.51222803170855,1.458014965057373,PSO_none_none,77,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,1.7143532212846886
J60_1.RCP,0,74.23950075898128,1.3820128440856934,BA_none,77,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J60_1.RCP,1,92.21352673300726,1.2172601222991943,BA_none,77,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,24.210865900592054
J60_2.RCP,0,103.80639053254438,1.444732904434204,PSO_none_none,65,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,11.686003279924229
J60_2.RCP,1,92.94485207100591,1.5445902347564697,PSO_none_none,65,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J60_2.RCP,0,131.59100591715978,1.2182512283325195,BA_none,65,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,41.579660395424426
J60_2.RCP,1,99.86792899408285,1.2101411819458008,BA_none,65,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,7.448585660008365
J60_3.RCP,0,122.20004455335264,1.4432079792022705,PSO_none_none,67,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,11.523682894399789
J60_3.RCP,1,118.52840276230786,1.4501240253448486,PSO_none_none,67,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.172824747801268
J60_3.RCP,0,109.57317888171085,1.231781005859375,BA_none,67,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J60_3.RCP,1,125.69258186678547,1.2256689071655273,BA_none,67,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,14.711084546042283
