instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_3.RCP,1,76.6901027582477,0.38250303268432617,BA_none,43,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,8.559179298729164
J30_3.RCP,0,71.80638182801515,0.3981339931488037,HS_fixed_random,43,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,1.6459960189864014
J30_3.RCP,1,70.87614926987563,0.4482402801513672,HS_fixed_random,43,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.3291992037973204
J30_4.RCP,0,72.4595041322314,0.35619616508483887,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,37.268286573146256
J30_4.RCP,1,75.62314049586776,0.3646700382232666,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,55,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,43.26152304609213
J30_4.RCP,0,61.623140495867766,0.45256996154785156,PSO_none_none,55,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,16.739729458917804
J30_4.RCP,1,52.786776859504144,0.4536161422729492,PSO_none_none,55,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_4.RCP,0,55.877685950413216,0.39162111282348633,BA_none,55,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,5.85546092184365
J30_4.RCP,1,56.8595041322314,0.3810551166534424,BA_none,55,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,7.715430861723414
J30_4.RCP,0,59.1504132231405,0.395158052444458,HS_fixed_random,55,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,12.055360721442861
