instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations
J30_8.RCP,1,73.6553933784265,0.11015701293945312,sa,53,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_8.RCP,0,69.24029903880384,0.18846702575683594,ils,53,1000,0,,,,60.0,,,,5.0,100.0
J30_8.RCP,1,82.78746885012458,0.141157865524292,ils,53,1000,1,,,,60.0,,,,5.0,100.0
J30_9.RCP,0,93.91666666666667,0.140272855758667,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_9.RCP,1,107.25,0.13673996925354004,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_9.RCP,0,114.29761904761905,0.10898113250732422,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_9.RCP,1,128.72619047619048,0.10776185989379883,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_9.RCP,0,114.82142857142857,0.09948301315307617,ils,42,1000,0,,,,60.0,,,,5.0,100.0
J30_9.RCP,1,157.82142857142856,0.10125613212585449,ils,42,1000,1,,,,60.0,,,,5.0,100.0
J30_10.RCP,0,80.27319211102996,0.1357882022857666,ga,37,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_10.RCP,1,79.89481373265157,0.1333780288696289,ga,37,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_10.RCP,0,83.02994886778671,0.10954904556274414,sa,37,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_10.RCP,1,82.05697589481375,0.10817098617553711,sa,37,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_10.RCP,0,72.1110299488678,0.10030579566955566,ils,37,1000,0,,,,60.0,,,,5.0,100.0
J30_10.RCP,1,72.38130021913807,0.10080099105834961,ils,37,1000,1,,,,60.0,,,,5.0,100.0
J30_11.RCP,0,78.66608996539793,0.13514399528503418,ga,34,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_11.RCP,1,83.66608996539793,0.1325240135192871,ga,34,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_11.RCP,0,95.90138408304499,0.10859799385070801,sa,34,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_11.RCP,1,86.25432525951558,0.11312007904052734,sa,34,1000,1,,,,60.0,10000.0,0.995,10.0,,
