instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J30_7.RCP,1,54.05861111111111,0.44833803176879883,PSO_none_none,60,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,2.593691846213039
J30_7.RCP,0,52.69194444444445,0.3828239440917969,BA_none,60,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_7.RCP,1,52.69194444444445,0.3782529830932617,BA_none,60,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_8.RCP,0,59.995016019935925,0.4473381042480469,PSO_none_none,53,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.44718098640441895,PSO_none_none,53,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.37459397315979004,BA_none,53,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.37406182289123535,BA_none,53,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.767525485681731
J30_9.RCP,0,92.29761904761902,0.451934814453125,PSO_none_none,42,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.206559665038347
J30_9.RCP,1,85.29761904761905,0.46770405769348145,PSO_none_none,42,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_9.RCP,0,86.25,0.3751800060272217,BA_none,42,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,1.1165387299371907
J30_9.RCP,1,85.82142857142857,0.38106799125671387,BA_none,42,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.6140963014654507
J30_10.RCP,0,73.67859751643536,0.5096118450164795,PSO_none_none,37,1000,0,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.1792794451605237
J30_10.RCP,1,73.78670562454347,0.45720696449279785,PSO_none_none,37,1000,1,50,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.3306737044538868
J30_10.RCP,0,72.9218407596786,0.3820972442626953,BA_none,37,1000,0,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.1195196301070225
J30_10.RCP,1,71.40832724616507,0.37934303283691406,BA_none,37,1000,1,50,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
