instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_3.RCP,0,71.80638182801515,0.39247703552246094,HS_fixed_random,43,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,3.555049449349527
J30_3.RCP,1,70.87614926987563,0.3901851177215576,HS_fixed_random,43,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.213521355255388
J30_4.RCP,0,65.95041322314049,0.29790592193603516,DE_rand/1_fixedF_bin_fixedCR_noLS,55,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,21.099915017603486
J30_4.RCP,1,72.60495867768594,0.29530906677246094,DE_rand/1_fixedF_bin_fixedCR_noLS,55,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,33.31916960058273
J30_4.RCP,0,58.095867768595035,0.21601510047912598,TS_static,55,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,6.677188296709962
J30_4.RCP,1,54.4595041322314,0.22354388236999512,TS_static,55,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_4.RCP,0,55.877685950413216,0.37030696868896484,BA_none,55,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,2.6041034357168806
J30_4.RCP,1,56.8595041322314,0.37754011154174805,BA_none,55,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,4.406944275828576
J30_4.RCP,0,59.1504132231405,0.39340806007385254,HS_fixed_random,55,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,8.613572902755866
J30_4.RCP,1,62.82314049586776,0.391387939453125,HS_fixed_random,55,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,15.357533082432917
