instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_1.RCP,0,63.82894736842106,0.43939924240112305,BA_none,38,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,64.14473684210526,0.42138671875,BA_none,38,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,63.4078947368421,0.5614418983459473,PSO_none_none,38,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_1.RCP,1,60.98684210526316,0.49202799797058105,PSO_none_none,38,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_1.RCP,0,62.98684210526316,0.40297913551330566,HS_fixed_random,38,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_1.RCP,1,64.51315789473684,0.4164469242095947,HS_fixed_random,38,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,0,97.36451247165535,0.41132187843322754,BA_none,42,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,1,95.36451247165532,0.4092848300933838,BA_none,42,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_2.RCP,0,92.65022675736961,0.4755072593688965,PSO_none_none,42,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_2.RCP,1,85.55498866213152,0.4793088436126709,PSO_none_none,42,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_2.RCP,0,86.88832199546485,0.41060304641723633,HS_fixed_random,42,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,1,89.31689342403628,0.41153883934020996,HS_fixed_random,42,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_3.RCP,0,74.36452136289887,0.411937952041626,BA_none,43,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_3.RCP,1,76.6901027582477,0.4018549919128418,BA_none,43,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_3.RCP,0,70.64359113034071,0.47876405715942383,PSO_none_none,43,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_3.RCP,1,70.78312601406165,0.48326921463012695,PSO_none_none,43,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_3.RCP,0,71.80638182801515,0.4140322208404541,HS_fixed_random,43,1000,0,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_3.RCP,1,70.87614926987563,0.4195718765258789,HS_fixed_random,43,1000,1,,3600.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_4.RCP,0,55.877685950413216,0.4002339839935303,BA_none,55,1000,0,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_4.RCP,1,56.8595041322314,0.4128108024597168,BA_none,55,1000,1,50.0,3600.0,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,,,,,,,,,
J30_4.RCP,0,61.623140495867766,0.46782684326171875,PSO_none_none,55,1000,0,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.47600793838500977,PSO_none_none,55,1000,1,50.0,3600.0,,,,,,,none,,0.729,1.49445,1.49445,none,30.0,80.0,0.01,0.9,,,,,,,,,,
