instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_interval,param_neighborhood_size,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_G0
J30_1.RCP,0,86.09210526315789,0.1391770839691162,DE_rand/1_fixedF_bin_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,87.19736842105264,0.14014601707458496,DE_rand/1_fixedF_bin_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,79.40789473684211,0.14123296737670898,DE_rand/1_fixedF_bin_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,74.35526315789474,0.14031291007995605,DE_rand/1_fixedF_bin_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,81.67105263157895,0.1371309757232666,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,71.77631578947368,0.1370069980621338,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,85.35526315789474,0.14473295211791992,DE_rand/1_fixedF_exp_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,87.14473684210526,0.1445927619934082,DE_rand/1_fixedF_exp_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,84.0921052631579,0.14200115203857422,DE_rand/1_fixedF_exp_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,73.67105263157895,0.1411900520324707,DE_rand/1_fixedF_exp_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,73.98684210526316,0.14344191551208496,DE_rand/1_fixedF_exp_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,84.46052631578948,0.14676403999328613,DE_rand/1_fixedF_exp_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.67105263157895,0.14054012298583984,DE_rand/1_fixedF_exp_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,81.25,0.13977980613708496,DE_rand/1_fixedF_exp_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,83.46052631578948,0.1425328254699707,DE_rand/2_adaptiveF_bin_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.03947368421052,0.14143991470336914,DE_rand/2_adaptiveF_bin_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,79.14473684210526,0.14075183868408203,DE_rand/2_adaptiveF_bin_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,73.35526315789474,0.13932013511657715,DE_rand/2_adaptiveF_bin_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
