instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_5.RCP,0,68.89281997918833,0.3151118755340576,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,20.81827803934447
J30_5.RCP,1,66.89281997918835,0.32631492614746094,DE_rand/1_fixedF_bin_fixedCR_noLS,31,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,17.31085076097667
J30_5.RCP,0,86.18314255983348,0.13183903694152832,PR_forward_best_noLS,31,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,51.140552574911446
J30_5.RCP,1,96.11862643080123,0.09321808815002441,PR_forward_best_noLS,31,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,68.56454615131935
J30_5.RCP,0,57.021852237252865,0.4092130661010742,HS_fixed_random,31,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_5.RCP,1,58.69927159209157,0.41483306884765625,HS_fixed_random,31,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.941713201211714
J30_6.RCP,0,61.84349030470914,0.3280789852142334,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,2.799585587659718
J30_6.RCP,1,62.264542936288095,0.33055591583251953,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,3.4994819845746568
J30_6.RCP,0,70.2645429362881,0.0863332748413086,PR_forward_best_noLS,38,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,16.797513525958333
J30_6.RCP,1,74.5803324099723,0.0898599624633789,PR_forward_best_noLS,38,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,23.97145159433636
