instance_id,algorithm,seed,horizon,max_evaluations,best_objective,is_feasible,n_evaluations,runtime,makespan
J30_1.RCP,ga,0,72,500,2682.041666666667,True,501,0.21251988410949707,70
J30_1.RCP,ga,0,57,500,2066.0,True,501,0.17827296257019043,57
J30_1.RCP,ga,0,58,500,2126.913793103448,True,501,0.1799931526184082,57
J30_1.RCP,ga,0,76,500,2805.25,True,501,0.20986080169677734,70
J30_1.RCP,ga,1,72,500,2674.041666666667,True,501,0.20838618278503418,68
J30_1.RCP,ga,1,57,500,2298.0,True,501,0.20498991012573242,57
J30_1.RCP,ga,1,58,500,2150.913793103448,True,501,0.1853477954864502,57
J30_1.RCP,ga,1,76,500,2805.25,True,501,0.20876502990722656,76
J30_10.RCP,ga,0,72,500,3212.208333333333,True,501,0.17752909660339355,49
J30_10.RCP,ga,0,57,500,2683.052631578947,True,501,0.1738569736480713,49
J30_10.RCP,ga,0,58,500,2726.8448275862065,True,501,0.17339110374450684,49
J30_10.RCP,ga,0,76,500,3318.03947368421,True,501,0.17223906517028809,46
J30_10.RCP,ga,1,72,500,3212.208333333333,True,501,0.17343592643737793,51
J30_10.RCP,ga,1,57,500,2683.052631578947,True,501,0.17464494705200195,51
J30_10.RCP,ga,1,58,500,2726.8448275862065,True,501,0.17725491523742676,51
J30_10.RCP,ga,1,76,500,3318.03947368421,True,501,0.18201112747192383,46
J30_100.RCP,ga,0,72,500,14946.277777777777,True,501,0.1979382038116455,61
J30_100.RCP,ga,0,57,500,8275.192982456141,True,501,0.17917108535766602,56
J30_100.RCP,ga,0,58,500,8896.965517241379,True,501,0.18207907676696777,56
J30_100.RCP,ga,0,76,500,16448.894736842107,True,501,0.1968822479248047,61
J30_100.RCP,ga,1,72,500,15666.277777777777,True,501,0.17975211143493652,60
J30_100.RCP,ga,1,57,500,8275.192982456141,True,501,0.17893099784851074,56
J30_100.RCP,ga,1,58,500,8896.965517241379,True,501,0.18036794662475586,56
J30_100.RCP,ga,1,76,500,17192.894736842107,True,501,0.18370413780212402,62
J30_101.RCP,ga,0,72,500,8280.027777777777,True,501,0.18811488151550293,70
J30_101.RCP,ga,0,57,500,inf,False,501,0.13406085968017578,0
J30_101.RCP,ga,0,58,500,6709.413793103449,True,501,0.15446186065673828,58
J30_101.RCP,ga,0,76,500,7471.184210526317,True,501,0.18266630172729492,75
J30_101.RCP,ga,1,72,500,7784.027777777777,True,501,0.16767215728759766,72
J30_101.RCP,ga,1,57,500,7982.245614035088,True,501,0.14433002471923828,57
J30_101.RCP,ga,1,58,500,7875.4137931034475,True,501,0.15051794052124023,58
J30_101.RCP,ga,1,76,500,8845.184210526317,True,501,0.16677403450012207,75
J30_102.RCP,ga,0,72,500,12844.180555555555,True,501,0.16517925262451172,70
J30_102.RCP,ga,0,57,500,inf,False,501,0.11337018013000488,0
J30_102.RCP,ga,0,58,500,11249.293103448275,True,501,0.12365484237670898,58
J30_102.RCP,ga,0,76,500,14203.486842105263,True,501,0.1630852222442627,73
J30_102.RCP,ga,1,72,500,12734.180555555557,True,501,0.15900301933288574,70
J30_102.RCP,ga,1,57,500,15555.649122807015,True,501,0.11685824394226074,56
J30_102.RCP,ga,1,58,500,11249.293103448275,True,501,0.1263442039489746,58
J30_102.RCP,ga,1,76,500,14717.486842105263,True,501,0.16387701034545898,76
