instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit,param_max_iterations,param_elite_size,param_path_strategy,param_selection_strategy,param_use_local_search,param_local_search_eval_limit
J30_3.RCP,1,88.78312601406166,0.024955272674560547,PR_backward_random_two_noLS,43,1000,1,60.0,100,10,backward,random_two,False,50
J30_4.RCP,0,97.69586776859504,0.12656116485595703,PR_forward_best_withLS,55,1000,0,60.0,100,10,forward,best,True,50
J30_4.RCP,1,109.58677685950411,0.12894272804260254,PR_forward_best_withLS,55,1000,1,60.0,100,10,forward,best,True,50
J30_4.RCP,0,85.1504132231405,0.038828134536743164,PR_forward_best_noLS,55,1000,0,60.0,100,10,forward,best,False,50
J30_4.RCP,1,89.18677685950415,0.049310922622680664,PR_forward_best_noLS,55,1000,1,60.0,100,10,forward,best,False,50
J30_4.RCP,0,105.40495867768597,0.12992095947265625,PR_forward_random_two_withLS,55,1000,0,60.0,100,10,forward,random_two,True,50
J30_4.RCP,1,114.09586776859504,0.12862706184387207,PR_forward_random_two_withLS,55,1000,1,60.0,100,10,forward,random_two,True,50
J30_4.RCP,0,77.73223140495867,0.02655315399169922,PR_forward_random_two_noLS,55,1000,0,60.0,100,10,forward,random_two,False,50
J30_4.RCP,1,84.93223140495869,0.026430130004882812,PR_forward_random_two_noLS,55,1000,1,60.0,100,10,forward,random_two,False,50
J30_4.RCP,0,103.51404958677685,0.12948822975158691,PR_backward_best_withLS,55,1000,0,60.0,100,10,backward,best,True,50
J30_4.RCP,1,111.04132231404958,0.12694287300109863,PR_backward_best_withLS,55,1000,1,60.0,100,10,backward,best,True,50
J30_4.RCP,0,87.69586776859505,0.038838863372802734,PR_backward_best_noLS,55,1000,0,60.0,100,10,backward,best,False,50
J30_4.RCP,1,93.33223140495868,0.03576087951660156,PR_backward_best_noLS,55,1000,1,60.0,100,10,backward,best,False,50
J30_4.RCP,0,100.20495867768592,0.1276710033416748,PR_backward_random_two_withLS,55,1000,0,60.0,100,10,backward,random_two,True,50
J30_4.RCP,1,93.25950413223141,0.12724089622497559,PR_backward_random_two_withLS,55,1000,1,60.0,100,10,backward,random_two,True,50
J30_4.RCP,0,95.18677685950412,0.027588844299316406,PR_backward_random_two_noLS,55,1000,0,60.0,100,10,backward,random_two,False,50
J30_4.RCP,1,86.96859504132233,0.0272371768951416,PR_backward_random_two_noLS,55,1000,1,60.0,100,10,backward,random_two,False,50
J60_1.RCP,0,161.25248777196828,0.24090290069580078,PR_forward_best_withLS,77,1000,0,60.0,100,10,forward,best,True,50
