instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit
J30_1.RCP,0,72.03947368421052,0.13981890678405762,ga,38,1000,0,60.0
J30_1.RCP,1,73.9342105263158,0.13492989540100098,ga,38,1000,1,60.0
J30_1.RCP,0,86.5657894736842,0.1088860034942627,sa,38,1000,0,60.0
J30_1.RCP,1,87.03947368421052,0.10939311981201172,sa,38,1000,1,60.0
J30_1.RCP,0,104.46052631578948,0.10268712043762207,ils,38,1000,0,60.0
J30_1.RCP,1,77.88157894736842,0.10086894035339355,ils,38,1000,1,60.0
J30_2.RCP,0,92.50736961451247,0.1335887908935547,ga,42,1000,0,60.0
J30_2.RCP,1,99.36451247165535,0.13285589218139648,ga,42,1000,1,60.0
J30_2.RCP,0,99.031179138322,0.10975289344787598,sa,42,1000,0,60.0
J30_2.RCP,1,103.36451247165535,0.10915803909301758,sa,42,1000,1,60.0
J30_2.RCP,0,94.22165532879819,0.10114502906799316,ils,42,1000,0,60.0
J30_2.RCP,1,100.60260770975057,0.10101985931396484,ils,42,1000,1,60.0
J30_3.RCP,0,77.66684694429422,0.13337397575378418,ga,43,1000,0,60.0
J30_3.RCP,1,77.15521903731748,0.13423705101013184,ga,43,1000,1,60.0
J30_3.RCP,0,82.8761492698756,0.10937690734863281,sa,43,1000,0,60.0
J30_3.RCP,1,83.29475392103839,0.10924005508422852,sa,43,1000,1,60.0
J30_3.RCP,0,72.69010275824769,0.10052108764648438,ils,43,1000,0,60.0
J30_3.RCP,1,76.92266089778259,0.10097479820251465,ils,43,1000,1,60.0
J30_4.RCP,0,70.82314049586778,0.13407301902770996,ga,55,1000,0,60.0
J30_4.RCP,1,81.76859504132233,0.13318705558776855,ga,55,1000,1,60.0
J30_4.RCP,0,76.20495867768595,0.10967302322387695,sa,55,1000,0,60.0
J30_4.RCP,1,76.82314049586778,0.11019611358642578,sa,55,1000,1,60.0
J30_4.RCP,0,69.22314049586777,0.10257911682128906,ils,55,1000,0,60.0
J30_4.RCP,1,73.33223140495868,0.10204195976257324,ils,55,1000,1,60.0
J30_5.RCP,0,71.66701352757542,0.13239336013793945,ga,31,1000,0,60.0
J30_5.RCP,1,77.21540062434961,0.1316359043121338,ga,31,1000,1,60.0
J30_5.RCP,0,86.57023933402704,0.10847115516662598,sa,31,1000,0,60.0
J30_5.RCP,1,80.312174817898,0.10761666297912598,sa,31,1000,1,60.0
J30_5.RCP,0,71.73152965660768,0.09970593452453613,ils,31,1000,0,60.0
J30_5.RCP,1,71.98959417273672,0.09978175163269043,ils,31,1000,1,60.0
J30_6.RCP,0,66.00138504155125,0.13204574584960938,ga,38,1000,0,60.0
J30_6.RCP,1,66.5803324099723,0.13748598098754883,ga,38,1000,1,60.0
J30_6.RCP,0,68.00138504155125,0.10766792297363281,sa,38,1000,0,60.0
J30_6.RCP,1,71.00138504155125,0.10766983032226562,sa,38,1000,1,60.0
J30_6.RCP,0,63.106648199445985,0.09974503517150879,ils,38,1000,0,60.0
J30_6.RCP,1,63.36980609418283,0.09959912300109863,ils,38,1000,1,60.0
J30_7.RCP,0,55.358611111111124,0.13258910179138184,ga,60,1000,0,60.0
J30_7.RCP,1,52.85861111111112,0.1320798397064209,ga,60,1000,1,60.0
J30_7.RCP,0,57.39194444444445,0.10835695266723633,sa,60,1000,0,60.0
J30_7.RCP,1,61.191944444444445,0.1085059642791748,sa,60,1000,1,60.0
J30_7.RCP,0,59.42527777777779,0.1017298698425293,ils,60,1000,0,60.0
J30_7.RCP,1,88.95861111111111,0.10088610649108887,ils,60,1000,1,60.0
J30_8.RCP,0,79.88180847276611,0.13397884368896484,ga,53,1000,0,60.0
J30_8.RCP,1,77.42897828408687,0.1334388256072998,ga,53,1000,1,60.0
J30_8.RCP,0,80.03275186899252,0.10931801795959473,sa,53,1000,0,60.0
J30_8.RCP,1,73.6553933784265,0.10969996452331543,sa,53,1000,1,60.0
J30_8.RCP,0,69.24029903880384,0.10115909576416016,ils,53,1000,0,60.0
J30_8.RCP,1,82.78746885012458,0.10133624076843262,ils,53,1000,1,60.0
J30_9.RCP,0,93.91666666666667,0.1321861743927002,ga,42,1000,0,60.0
J30_9.RCP,1,107.25,0.1335310935974121,ga,42,1000,1,60.0
