instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_elite_size,param_path_strategy,param_local_search_eval_limit
J30_4.RCP,1,75.62314049586776,0.3811299800872803,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,55,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_4.RCP,0,97.69586776859504,0.26793599128723145,PR_forward_best_withLS,55,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_4.RCP,1,109.58677685950411,0.27962541580200195,PR_forward_best_withLS,55,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_5.RCP,0,82.44120707596252,0.3209190368652344,DE_rand/1_fixedF_bin_adaptiveCR_withLS,31,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_5.RCP,1,83.47346514047865,0.3175990581512451,DE_rand/1_fixedF_bin_adaptiveCR_withLS,31,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_5.RCP,0,77.02185223725284,0.4024648666381836,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,31,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_5.RCP,1,84.82830385015606,0.4039649963378906,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,31,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_5.RCP,0,93.98959417273672,0.28834986686706543,PR_forward_best_withLS,31,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_5.RCP,1,96.50572320499478,0.2799050807952881,PR_forward_best_withLS,31,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_6.RCP,0,68.2645429362881,0.30953001976013184,DE_rand/1_fixedF_bin_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_6.RCP,1,65.2645429362881,0.30652880668640137,DE_rand/1_fixedF_bin_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_6.RCP,0,68.5803324099723,0.40882015228271484,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,38,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_6.RCP,1,69.52770083102493,0.40543293952941895,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,38,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_6.RCP,0,71.21191135734072,0.2898690700531006,PR_forward_best_withLS,38,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_6.RCP,1,64.79085872576178,0.2935311794281006,PR_forward_best_withLS,38,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_7.RCP,0,55.858611111111124,0.30704522132873535,DE_rand/1_fixedF_bin_adaptiveCR_withLS,60,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_7.RCP,1,54.65861111111111,0.3011908531188965,DE_rand/1_fixedF_bin_adaptiveCR_withLS,60,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_7.RCP,0,53.92527777777778,0.40134501457214355,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,60,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_7.RCP,1,55.72527777777779,0.4024381637573242,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,60,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_7.RCP,0,62.32527777777778,0.28900718688964844,PR_forward_best_withLS,60,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_7.RCP,1,72.95861111111113,0.2875330448150635,PR_forward_best_withLS,60,1000,1,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
J30_8.RCP,0,73.46671413314346,0.3006768226623535,DE_rand/1_fixedF_bin_adaptiveCR_withLS,53,1000,0,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_8.RCP,1,72.10822356710574,0.31278491020202637,DE_rand/1_fixedF_bin_adaptiveCR_withLS,53,1000,1,50.0,60.0,100.0,0.1,0.9,False,True,rand/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,
J30_8.RCP,0,77.20256318974724,0.3955261707305908,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,53,1000,0,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_8.RCP,1,71.7686009255963,0.44275832176208496,GA_roulette_single_point_random_random_none_withNeighborhood_noSA,53,1000,1,50.0,60.0,,,,,,random,single_point,random,,,,,,,,0.9,0.1,roulette,3.0,True,False,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,
J30_8.RCP,0,98.33463866144535,0.2615349292755127,PR_forward_best_withLS,53,1000,0,,60.0,100.0,,,,,,,,True,,,,,,,,,best,,,,,,,,,,,,,10.0,forward,50.0
