instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy,rpd
J30_5.RCP,1,54.5057232049948,0.37676215171813965,BA_none,31,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,0.0
J30_5.RCP,0,57.021852237252865,0.38779211044311523,HS_fixed_random,31,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,4.6162657502863675
J30_5.RCP,1,58.69927159209157,0.3894929885864258,HS_fixed_random,31,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,7.693776250477271
J30_6.RCP,0,62.94875346260388,0.44974827766418457,PSO_none_none,38,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,4.6368136295614395
J30_6.RCP,1,60.15927977839334,0.44628095626831055,PSO_none_none,38,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,0.0
J30_6.RCP,0,63.89612188365651,0.3760838508605957,BA_none,38,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,6.211580522620031
J30_6.RCP,1,66.00138504155125,0.37691593170166016,BA_none,38,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,9.711062507194676
J30_6.RCP,0,60.159279778393355,0.3914668560028076,HS_fixed_random,38,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,2.3622049279097153e-14
J30_6.RCP,1,60.68559556786704,0.385850191116333,HS_fixed_random,38,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,0.874870496143688
J30_7.RCP,0,53.59194444444445,0.4500720500946045,PSO_none_none,60,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,3.4088899132233674
J30_7.RCP,1,54.05861111111111,0.447735071182251,PSO_none_none,60,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,4.309351399735195
J30_7.RCP,0,52.69194444444445,0.3791639804840088,BA_none,60,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,1.6722856178076846
J30_7.RCP,1,52.69194444444445,0.37496232986450195,BA_none,60,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,1.6722856178076846
J30_7.RCP,0,51.82527777777779,0.38584208488464355,HS_fixed_random,60,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,0.0
J30_7.RCP,1,52.258611111111115,0.3927779197692871,HS_fixed_random,60,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,0.8361428089038286
J30_8.RCP,0,59.995016019935925,0.4486110210418701,PSO_none_none,53,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.4499938488006592,PSO_none_none,53,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.37772488594055176,BA_none,53,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.37830281257629395,BA_none,53,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,2.767525485681731
J30_8.RCP,0,63.46671413314347,0.3897430896759033,HS_fixed_random,53,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,5.786644197334531
J30_8.RCP,1,67.7308650765397,0.3876519203186035,HS_fixed_random,53,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,12.894152831017175
J30_9.RCP,0,92.29761904761902,0.4481489658355713,PSO_none_none,42,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,9.552070086194686
J30_9.RCP,1,85.29761904761905,0.4469177722930908,PSO_none_none,42,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,1.2434647449484284
J30_9.RCP,0,86.25,0.37761783599853516,BA_none,42,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,2.3738872403560833
J30_9.RCP,1,85.82142857142857,0.3761720657348633,BA_none,42,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,1.865197117422634
J30_9.RCP,0,84.25,0.38779640197753906,HS_fixed_random,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,0.0
J30_9.RCP,1,84.53571428571429,0.38648104667663574,HS_fixed_random,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,0.33912674862230485
J30_10.RCP,0,73.67859751643536,0.45058369636535645,PSO_none_none,37,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,3.1792794451605237
J30_10.RCP,1,73.78670562454347,0.4495680332183838,PSO_none_none,37,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,,3.3306737044538868
J30_10.RCP,0,72.9218407596786,0.3764050006866455,BA_none,37,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,2.1195196301070225
J30_10.RCP,1,71.40832724616507,0.3743753433227539,BA_none,37,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,,0.0
J30_10.RCP,0,72.54346238130023,0.38561582565307617,HS_fixed_random,37,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,1.5896397225802816
J30_10.RCP,1,74.32724616508399,0.3880000114440918,HS_fixed_random,37,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random,4.087645000920642
