feature,importance
serial_parallel_indicator,0.1733499768861956
resource_strength_mean,0.13726905381987137
total_work,0.061254326045816265
critical_activity_ratio,0.05852282060611216
order_strength,0.044490009906843736
resource_strength_max,0.04439393662094372
short_arc_indicator,0.04094329406778524
capacity_min,0.03375869499807412
long_arc_count,0.030309169697326877
avg_resource_0,0.02782536947197268
capacity_mean,0.02612203318756174
avg_resource_3,0.0225893625841185
avg_resource_2,0.02246378287756702
capacity_std,0.021913518004484562
n_activities,0.01769095711678089
duration_mean,0.017272785726745638
avg_resource_1,0.016134105075672207
critical_path_len,0.014040918075089434
n_edges,0.013544451837593157
order_strength_new,0.01351155216403028
topological_floating,0.012741501974356298
demand_per_activity_mean,0.012552903921838155
density,0.01204889326547749
parallel_degree,0.011904874517240269
slack_max,0.01137373383893199
demand_std,0.011220873839579693
slack_std,0.010829197704905928
demand_mean,0.010827761871437877
slack_median,0.010803605670906252
max_progressive_level,0.010417351339400993
capacity_max,0.009400917928029521
slack_mean,0.00908915996406875
non_zero_slack_mean,0.0076774688435477705
activity_distribution,0.00742263064209721
avg_resource_total,0.007351778229904221
min_regression_level,0.006937227677692367
duration_max,0.0
slack_min,0.0
avg_out_degree,0.0
resource_usage,0.0
resource_factor,0.0
avg_in_degree,0.0
duration_min,0.0
max_out_degree,0.0
max_in_degree,0.0
n_resources,0.0
network_complexity,0.0
min_successor_count,0.0
min_predecessor_count,0.0
max_predecessor_count,0.0
max_successor_count,0.0
