instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_2.RCP,0,97.36451247165535,0.2830319404602051,BA_none,42,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,1,95.36451247165532,0.2833850383758545,BA_none,42,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,0,88.50736961451247,0.20806097984313965,BA_tlim,42,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,1,89.26927437641723,0.20683598518371582,BA_tlim,42,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_2.RCP,0,86.88832199546485,0.29701900482177734,HS_fixed_random,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,1,89.31689342403628,0.2964911460876465,HS_fixed_random,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_2.RCP,0,85.88832199546485,0.2921788692474365,HS_fixed_forward,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_2.RCP,1,80.74546485260771,0.2901120185852051,HS_fixed_forward,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_2.RCP,0,84.41213151927438,0.3086090087890625,HS_adaptive_random,42,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_2.RCP,1,85.22165532879819,0.3122541904449463,HS_adaptive_random,42,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
