feature,importance
avg_resource_0,0.147104945860504
avg_resource_total,0.07739106611023669
demand_per_activity_mean,0.06960474806509567
capacity_min,0.06412146859264953
demand_mean,0.06408068742965572
order_strength,0.06270903878775581
resource_strength_mean,0.04306047943590938
topological_floating,0.042074246728263
demand_std,0.03823457515499899
duration_mean,0.03548066511324672
activity_distribution,0.03364258426188772
capacity_std,0.0331238486878723
avg_resource_2,0.031539029073913746
avg_resource_1,0.030872696225888535
capacity_mean,0.029468368567623155
critical_activity_ratio,0.02216126238934733
resource_strength_max,0.021615273194643972
min_regression_level,0.020667065826897528
short_arc_indicator,0.020319222895184477
slack_median,0.018011407160315764
avg_resource_3,0.012554216400410302
total_work,0.011240494245871322
max_progressive_level,0.010432618879536247
non_zero_slack_mean,0.009532463735485342
serial_parallel_indicator,0.009001324489762779
slack_std,0.008756378927208323
long_arc_count,0.008323499992412109
slack_max,0.007885803098521136
critical_path_len,0.007707189753830768
slack_mean,0.00511913762194586
capacity_max,0.003714748770497327
duration_max,0.00044944452262847556
max_out_degree,0.0
resource_usage,0.0
resource_factor,0.0
max_in_degree,0.0
avg_out_degree,0.0
n_edges,0.0
avg_in_degree,0.0
order_strength_new,0.0
parallel_degree,0.0
density,0.0
network_complexity,0.0
min_successor_count,0.0
max_successor_count,0.0
min_predecessor_count,0.0
max_predecessor_count,0.0
duration_min,0.0
n_resources,0.0
slack_min,0.0
n_activities,0.0
