instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations
J30_8.RCP,1,73.6553933784265,0.11417508125305176,sa,53,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_8.RCP,0,69.24029903880384,0.10517191886901855,ils,53,1000,0,,,,60.0,,,,5.0,100.0
J30_8.RCP,1,82.78746885012458,0.1055612564086914,ils,53,1000,1,,,,60.0,,,,5.0,100.0
J30_9.RCP,0,93.91666666666667,0.1378629207611084,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_9.RCP,1,107.25,0.13672614097595215,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_9.RCP,0,114.29761904761905,0.11311817169189453,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_9.RCP,1,128.72619047619048,0.11311101913452148,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_9.RCP,0,114.82142857142857,0.10547780990600586,ils,42,1000,0,,,,60.0,,,,5.0,100.0
J30_9.RCP,1,157.82142857142856,0.10418701171875,ils,42,1000,1,,,,60.0,,,,5.0,100.0
J30_10.RCP,0,80.27319211102996,0.13794684410095215,ga,37,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_10.RCP,1,79.89481373265157,0.13840723037719727,ga,37,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_10.RCP,0,83.02994886778671,0.11511087417602539,sa,37,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_10.RCP,1,82.05697589481375,0.11274337768554688,sa,37,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_10.RCP,0,72.1110299488678,0.10519599914550781,ils,37,1000,0,,,,60.0,,,,5.0,100.0
J30_10.RCP,1,72.38130021913807,0.10670065879821777,ils,37,1000,1,,,,60.0,,,,5.0,100.0
J30_11.RCP,0,78.66608996539793,0.13650894165039062,ga,34,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_11.RCP,1,83.66608996539793,0.13426995277404785,ga,34,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_11.RCP,0,95.90138408304499,0.11150789260864258,sa,34,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_11.RCP,1,86.25432525951558,0.11052083969116211,sa,34,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_11.RCP,0,64.5484429065744,0.10146903991699219,ils,34,1000,0,,,,60.0,,,,5.0,100.0
J30_11.RCP,1,72.66608996539792,0.10354089736938477,ils,34,1000,1,,,,60.0,,,,5.0,100.0
J30_12.RCP,0,68.94328922495274,0.13696670532226562,ga,46,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_12.RCP,1,68.46502835538752,0.1347191333770752,ga,46,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_12.RCP,0,75.07372400756144,0.11066722869873047,sa,46,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_12.RCP,1,72.29111531190927,0.11180710792541504,sa,46,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_12.RCP,0,73.72589792060491,0.10289788246154785,ils,46,1000,0,,,,60.0,,,,5.0,100.0
J30_12.RCP,1,67.59546313799622,0.10166811943054199,ils,46,1000,1,,,,60.0,,,,5.0,100.0
J30_13.RCP,0,54.663061114115735,0.13390898704528809,ga,43,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_13.RCP,1,53.87236343969714,0.1345198154449463,ga,43,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_13.RCP,0,56.98864250946458,0.11028718948364258,sa,43,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_13.RCP,1,57.08166576527854,0.10978889465332031,sa,43,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_13.RCP,0,55.26771227690643,0.10179305076599121,ils,43,1000,0,,,,60.0,,,,5.0,100.0
J30_13.RCP,1,56.197944835045966,0.10236907005310059,ils,43,1000,1,,,,60.0,,,,5.0,100.0
J30_14.RCP,0,52.54195011337868,0.13483405113220215,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_14.RCP,1,51.2562358276644,0.13419127464294434,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_14.RCP,0,53.11337868480725,0.10928106307983398,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_14.RCP,1,59.63718820861678,0.10929989814758301,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_14.RCP,0,55.63718820861678,0.10084986686706543,ils,42,1000,0,,,,60.0,,,,5.0,100.0
J30_14.RCP,1,47.780045351473916,0.10161280632019043,ils,42,1000,1,,,,60.0,,,,5.0,100.0
J30_15.RCP,0,61.50173010380624,0.13594698905944824,ga,51,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_15.RCP,1,64.48212226066899,0.13437390327453613,ga,51,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_15.RCP,0,77.54094579008076,0.11013913154602051,sa,51,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_15.RCP,1,71.3840830449827,0.11054182052612305,sa,51,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_15.RCP,0,84.9919261822376,0.10882091522216797,ils,51,1000,0,,,,60.0,,,,5.0,100.0
J30_15.RCP,1,68.40369088811997,0.10481619834899902,ils,51,1000,1,,,,60.0,,,,5.0,100.0
J30_16.RCP,0,62.956088727931196,0.1336808204650879,ga,47,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_16.RCP,1,70.27523766410141,0.13358306884765625,ga,47,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_16.RCP,0,81.84970574920779,0.11370182037353516,sa,47,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_16.RCP,1,72.74332277048437,0.11503410339355469,sa,47,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_16.RCP,0,61.89225894069715,0.1054527759552002,ils,47,1000,0,,,,60.0,,,,5.0,100.0
J30_16.RCP,1,74.87098234495247,0.1054067611694336,ils,47,1000,1,,,,60.0,,,,5.0,100.0
J30_17.RCP,0,61.17790855590765,0.14058780670166016,ga,47,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_17.RCP,1,50.83748302399275,0.13991689682006836,ga,47,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_17.RCP,0,67.73110004526936,0.10992813110351562,sa,47,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_17.RCP,1,68.75237664101404,0.10989117622375488,sa,47,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_17.RCP,0,64.15663196016297,0.10119128227233887,ils,47,1000,0,,,,60.0,,,,5.0,100.0
J30_17.RCP,1,71.13535536441829,0.10148096084594727,ils,47,1000,1,,,,60.0,,,,5.0,100.0
J30_18.RCP,0,71.73400000000001,0.13791632652282715,ga,50,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_18.RCP,1,70.65400000000001,0.13966584205627441,ga,50,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_18.RCP,0,81.054,0.10996103286743164,sa,50,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_18.RCP,1,77.45400000000001,0.11065983772277832,sa,50,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_18.RCP,0,75.65400000000001,0.10120701789855957,ils,50,1000,0,,,,60.0,,,,5.0,100.0
J30_18.RCP,1,75.61399999999999,0.10105228424072266,ils,50,1000,1,,,,60.0,,,,5.0,100.0
J30_19.RCP,0,99.0565167243368,0.13457894325256348,ga,51,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_19.RCP,1,109.4878892733564,0.1348280906677246,ga,51,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_19.RCP,0,101.21337946943484,0.1106102466583252,sa,51,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_19.RCP,1,103.52710495963092,0.10990214347839355,sa,51,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_19.RCP,0,97.40945790080738,0.10114622116088867,ils,51,1000,0,,,,60.0,,,,5.0,100.0
J30_19.RCP,1,79.52710495963092,0.10129618644714355,ils,51,1000,1,,,,60.0,,,,5.0,100.0
J30_20.RCP,0,100.4104699583581,0.13546395301818848,ga,41,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_20.RCP,1,91.62998215348007,0.1332850456237793,ga,41,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_20.RCP,0,104.02022605591908,0.10972905158996582,sa,41,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_20.RCP,1,100.45925044616298,0.1089329719543457,sa,41,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_20.RCP,0,90.36168947055324,0.10110211372375488,ils,41,1000,0,,,,60.0,,,,5.0,100.0
J30_20.RCP,1,94.2153480071386,0.10114097595214844,ils,41,1000,1,,,,60.0,,,,5.0,100.0
J30_21.RCP,0,66.12461419753087,0.13503289222717285,ga,72,1000,0,50.0,0.9,0.1,60.0,,,,,
