instance_id,algorithm,seed,horizon,max_evaluations,best_objective,is_feasible,n_evaluations,runtime,makespan
J30_1.RCP,ga,0,72,500,2682.041666666667,True,501,0.2109818458557129,70
J30_1.RCP,ga,0,57,500,2066.0,True,501,0.17225909233093262,57
J30_1.RCP,ga,0,58,500,2126.913793103448,True,501,0.1706540584564209,57
J30_1.RCP,ga,0,76,500,2805.25,True,501,0.20096397399902344,70
J30_1.RCP,ga,1,72,500,2674.041666666667,True,501,0.20068097114562988,68
J30_1.RCP,ga,1,57,500,2298.0,True,501,0.19687223434448242,57
J30_1.RCP,ga,1,58,500,2150.913793103448,True,501,0.1825549602508545,57
J30_1.RCP,ga,1,76,500,2805.25,True,501,0.1990799903869629,76
J30_10.RCP,ga,0,72,500,3212.208333333333,True,501,0.1728379726409912,49
J30_10.RCP,ga,0,57,500,2683.052631578947,True,501,0.1703648567199707,49
J30_10.RCP,ga,0,58,500,2726.8448275862065,True,501,0.1695728302001953,49
J30_10.RCP,ga,0,76,500,3318.03947368421,True,501,0.16612577438354492,46
J30_10.RCP,ga,1,72,500,3212.208333333333,True,501,0.16943097114562988,51
J30_10.RCP,ga,1,57,500,2683.052631578947,True,501,0.16756486892700195,51
J30_10.RCP,ga,1,58,500,2726.8448275862065,True,501,0.1675710678100586,51
J30_10.RCP,ga,1,76,500,3318.03947368421,True,501,0.16503596305847168,46
J30_100.RCP,ga,0,72,500,14946.277777777777,True,501,0.19038009643554688,61
J30_100.RCP,ga,0,57,500,8275.192982456141,True,501,0.17322397232055664,56
J30_100.RCP,ga,0,58,500,8896.965517241379,True,501,0.17431330680847168,56
J30_100.RCP,ga,0,76,500,16448.894736842107,True,501,0.19262313842773438,61
J30_100.RCP,ga,1,72,500,15666.277777777777,True,501,0.17603278160095215,60
J30_100.RCP,ga,1,57,500,8275.192982456141,True,501,0.1730649471282959,56
J30_100.RCP,ga,1,58,500,8896.965517241379,True,501,0.1730790138244629,56
J30_100.RCP,ga,1,76,500,17192.894736842107,True,501,0.17848896980285645,62
J30_101.RCP,ga,0,72,500,8280.027777777777,True,501,0.18050098419189453,70
J30_101.RCP,ga,0,57,500,inf,False,501,0.1335587501525879,0
J30_101.RCP,ga,0,58,500,6709.413793103449,True,501,0.15532422065734863,58
J30_101.RCP,ga,0,76,500,7471.184210526317,True,501,0.18101000785827637,75
J30_101.RCP,ga,1,72,500,7784.027777777777,True,501,0.16335010528564453,72
J30_101.RCP,ga,1,57,500,7982.245614035088,True,501,0.1528639793395996,57
J30_101.RCP,ga,1,58,500,7875.4137931034475,True,501,0.19491195678710938,58
J30_101.RCP,ga,1,76,500,8845.184210526317,True,501,0.19835591316223145,75
J30_102.RCP,ga,0,72,500,12844.180555555555,True,501,0.16089701652526855,70
J30_102.RCP,ga,0,57,500,inf,False,501,0.11040091514587402,0
J30_102.RCP,ga,0,58,500,11249.293103448275,True,501,0.1195383071899414,58
J30_102.RCP,ga,0,76,500,14203.486842105263,True,501,0.157944917678833,73
J30_102.RCP,ga,1,72,500,12734.180555555557,True,501,0.15381073951721191,70
J30_102.RCP,ga,1,57,500,15555.649122807015,True,501,0.11468100547790527,56
J30_102.RCP,ga,1,58,500,11249.293103448275,True,501,0.12385892868041992,58
J30_102.RCP,ga,1,76,500,14717.486842105263,True,501,0.16730093955993652,76
