instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations
J30_1.RCP,0,72.03947368421052,0.1390528678894043,ga,38,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_1.RCP,1,73.9342105263158,0.13675189018249512,ga,38,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_1.RCP,0,86.5657894736842,0.10843801498413086,sa,38,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_1.RCP,1,87.03947368421052,0.10854792594909668,sa,38,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_1.RCP,0,104.46052631578948,0.10068202018737793,ils,38,1000,0,,,,60.0,,,,5.0,100.0
J30_1.RCP,1,77.88157894736842,0.10008430480957031,ils,38,1000,1,,,,60.0,,,,5.0,100.0
J30_2.RCP,0,92.50736961451247,0.13402509689331055,ga,42,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_2.RCP,1,99.36451247165535,0.13338398933410645,ga,42,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_2.RCP,0,99.031179138322,0.10922122001647949,sa,42,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_2.RCP,1,103.36451247165535,0.10859918594360352,sa,42,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_2.RCP,0,94.22165532879819,0.10334205627441406,ils,42,1000,0,,,,60.0,,,,5.0,100.0
J30_2.RCP,1,100.60260770975057,0.10142827033996582,ils,42,1000,1,,,,60.0,,,,5.0,100.0
J30_3.RCP,0,77.66684694429422,0.13398408889770508,ga,43,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_3.RCP,1,77.15521903731748,0.13327789306640625,ga,43,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_3.RCP,0,82.8761492698756,0.10962605476379395,sa,43,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_3.RCP,1,83.29475392103839,0.10904073715209961,sa,43,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_3.RCP,0,72.69010275824769,0.10059690475463867,ils,43,1000,0,,,,60.0,,,,5.0,100.0
J30_3.RCP,1,76.92266089778259,0.10101008415222168,ils,43,1000,1,,,,60.0,,,,5.0,100.0
J30_4.RCP,0,70.82314049586778,0.13452410697937012,ga,55,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_4.RCP,1,81.76859504132233,0.13526701927185059,ga,55,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_4.RCP,0,76.20495867768595,0.10979700088500977,sa,55,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_4.RCP,1,76.82314049586778,0.11541509628295898,sa,55,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_4.RCP,0,69.22314049586777,0.1266169548034668,ils,55,1000,0,,,,60.0,,,,5.0,100.0
