ratio,DE_rand/1_fixedF_bin_fixedCR_noLS,TS_static,PR_forward_best_noLS
1.0,0.0,1.0,0.0
1.0101010101010102,0.0,1.0,0.0
1.02020202020202,0.0,1.0,0.0
1.0303030303030303,0.0,1.0,0.0
1.0404040404040404,0.2,1.0,0.0
1.0505050505050506,0.2,1.0,0.0
1.0606060606060606,0.2,1.0,0.0
1.0707070707070707,0.2,1.0,0.0
1.0808080808080809,0.3,1.0,0.0
1.0909090909090908,0.4,1.0,0.0
1.101010101010101,0.5,1.0,0.0
1.1111111111111112,0.5,1.0,0.0
1.121212121212121,0.5,1.0,0.0
1.1313131313131313,0.6,1.0,0.1
1.1414141414141414,0.6,1.0,0.2
1.1515151515151516,0.6,1.0,0.2
1.1616161616161615,0.6,1.0,0.3
1.1717171717171717,0.6,1.0,0.3
1.1818181818181819,0.6,1.0,0.4
1.191919191919192,0.6,1.0,0.4
1.202020202020202,0.6,1.0,0.4
1.2121212121212122,0.7,1.0,0.4
1.2222222222222223,0.8,1.0,0.4
1.2323232323232323,0.8,1.0,0.4
1.2424242424242424,0.8,1.0,0.4
1.2525252525252526,0.8,1.0,0.4
1.2626262626262625,0.8,1.0,0.5
1.2727272727272727,0.8,1.0,0.5
1.2828282828282829,0.9,1.0,0.5
1.2929292929292928,1.0,1.0,0.5
1.303030303030303,1.0,1.0,0.5
1.3131313131313131,1.0,1.0,0.5
1.3232323232323233,1.0,1.0,0.5
1.3333333333333335,1.0,1.0,0.6
1.3434343434343434,1.0,1.0,0.6
1.3535353535353536,1.0,1.0,0.7
1.3636363636363638,1.0,1.0,0.7
1.3737373737373737,1.0,1.0,0.7
1.3838383838383839,1.0,1.0,0.7
1.393939393939394,1.0,1.0,0.7
1.404040404040404,1.0,1.0,0.7
1.4141414141414141,1.0,1.0,0.7
1.4242424242424243,1.0,1.0,0.7
1.4343434343434343,1.0,1.0,0.7
1.4444444444444444,1.0,1.0,0.7
1.4545454545454546,1.0,1.0,0.7
1.4646464646464648,1.0,1.0,0.7
1.474747474747475,1.0,1.0,0.7
1.4848484848484849,1.0,1.0,0.7
1.494949494949495,1.0,1.0,0.7
1.5050505050505052,1.0,1.0,0.7
1.5151515151515151,1.0,1.0,0.7
1.5252525252525253,1.0,1.0,0.7
1.5353535353535355,1.0,1.0,0.7
1.5454545454545454,1.0,1.0,0.7
1.5555555555555556,1.0,1.0,0.7
1.5656565656565657,1.0,1.0,0.8
1.5757575757575757,1.0,1.0,0.8
1.5858585858585859,1.0,1.0,0.9
1.595959595959596,1.0,1.0,0.9
1.606060606060606,1.0,1.0,0.9
1.6161616161616164,1.0,1.0,0.9
1.6262626262626263,1.0,1.0,0.9
1.6363636363636365,1.0,1.0,0.9
1.6464646464646466,1.0,1.0,0.9
1.6565656565656566,1.0,1.0,1.0
1.6666666666666667,1.0,1.0,1.0
1.676767676767677,1.0,1.0,1.0
1.6868686868686869,1.0,1.0,1.0
1.696969696969697,1.0,1.0,1.0
1.7070707070707072,1.0,1.0,1.0
1.7171717171717171,1.0,1.0,1.0
1.7272727272727273,1.0,1.0,1.0
1.7373737373737375,1.0,1.0,1.0
1.7474747474747474,1.0,1.0,1.0
1.7575757575757578,1.0,1.0,1.0
1.7676767676767677,1.0,1.0,1.0
1.7777777777777777,1.0,1.0,1.0
1.787878787878788,1.0,1.0,1.0
1.797979797979798,1.0,1.0,1.0
1.8080808080808082,1.0,1.0,1.0
1.8181818181818183,1.0,1.0,1.0
1.8282828282828283,1.0,1.0,1.0
1.8383838383838385,1.0,1.0,1.0
1.8484848484848486,1.0,1.0,1.0
1.8585858585858586,1.0,1.0,1.0
1.8686868686868687,1.0,1.0,1.0
1.878787878787879,1.0,1.0,1.0
1.8888888888888888,1.0,1.0,1.0
1.8989898989898992,1.0,1.0,1.0
1.9090909090909092,1.0,1.0,1.0
1.9191919191919191,1.0,1.0,1.0
1.9292929292929295,1.0,1.0,1.0
1.9393939393939394,1.0,1.0,1.0
1.9494949494949496,1.0,1.0,1.0
1.9595959595959598,1.0,1.0,1.0
1.9696969696969697,1.0,1.0,1.0
1.97979797979798,1.0,1.0,1.0
1.98989898989899,1.0,1.0,1.0
2.0,1.0,1.0,1.0
