instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J30_5.RCP,0,66.6347554630593,0.5106947422027588,DE_current-to-rand/2_bin_fixedCR_noLS,31,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,22.252768232149652
J30_5.RCP,1,69.47346514047865,0.5071032047271729,DE_current-to-rand/2_bin_fixedCR_noLS,31,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,27.46086292478041
J30_5.RCP,0,56.376690946930275,0.7912390232086182,PSO_none_none,31,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.4326078655975367
J30_5.RCP,1,59.27991675338189,0.7994019985198975,PSO_none_none,31,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.759068346697198
J30_5.RCP,0,72.7637877211238,0.7411158084869385,BA_none,31,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,33.49751813669334
J30_5.RCP,1,54.5057232049948,0.6708879470825195,BA_none,31,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_6.RCP,0,64.21191135734072,0.5317800045013428,DE_current-to-rand/2_bin_fixedCR_noLS,38,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,6.7365028203062325
J30_6.RCP,1,64.31717451523545,0.5224671363830566,DE_current-to-rand/2_bin_fixedCR_noLS,38,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,6.911476919534946
J30_6.RCP,0,62.94875346260388,0.7942028045654297,PSO_none_none,38,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,4.6368136295614395
J30_6.RCP,1,60.15927977839334,0.860443115234375,PSO_none_none,38,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_6.RCP,0,63.89612188365651,0.7272276878356934,BA_none,38,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,6.211580522620031
J30_6.RCP,1,66.00138504155125,0.6716620922088623,BA_none,38,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,9.711062507194676
J30_7.RCP,0,55.22527777777779,0.5090548992156982,DE_current-to-rand/2_bin_fixedCR_noLS,60,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,4.807819032004691
J30_7.RCP,1,54.35861111111111,0.5078349113464355,DE_current-to-rand/2_bin_fixedCR_noLS,60,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,3.1630388368451667
J30_7.RCP,0,53.59194444444445,0.8621091842651367,PSO_none_none,60,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,1.708040971896397
J30_7.RCP,1,54.05861111111111,0.802969217300415,PSO_none_none,60,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,2.593691846213039
J30_7.RCP,0,52.69194444444445,0.6787750720977783,BA_none,60,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_7.RCP,1,52.69194444444445,0.6786549091339111,BA_none,60,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,0.0
J30_8.RCP,0,66.71199715201139,0.5267112255096436,DE_current-to-rand/2_bin_fixedCR_noLS,53,1000,0,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,11.195898555712464
J30_8.RCP,1,68.41011035955856,0.5543968677520752,DE_current-to-rand/2_bin_fixedCR_noLS,53,1000,1,50,60.0,100.0,0.1,0.9,False,False,current-to-rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,14.02632234788696
J30_8.RCP,0,59.995016019935925,0.7903318405151367,PSO_none_none,53,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.7899649143218994,PSO_none_none,53,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.6768922805786133,BA_none,53,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.7425811290740967,BA_none,53,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,2.767525485681731
