instance_id,seed,best_objective,runtime,algorithm_name,param_max_evaluations,param_max_iterations,param_time_limit,param_seed,param_problem_type,param_population_size,param_n_generations,param_crossover_rate,param_mutation_rate,param_tournament_size,param_crossover,param_mutation,param_elitism,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator,param_perturbation_strength,param_local_search_operator,param_perturbation_operator,param_acceptance
J30_104.RCP,1,87.31346450617285,5.037636995315552,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_104.RCP,0,84.56346450617285,5.001071214675903,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_104.RCP,1,87.31346450617285,5.0004870891571045,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_104.RCP,0,86.8690200617284,5.000646114349365,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_104.RCP,1,81.3690200617284,5.001615047454834,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_105.RCP,0,80.80209295167744,5.110281944274902,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_105.RCP,1,78.51881377551021,5.004507064819336,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_105.RCP,0,78.51881377551021,5.0009777545928955,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_105.RCP,1,80.07063609467454,5.000060081481934,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_105.RCP,0,72.83986686390531,5.001910924911499,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_105.RCP,1,83.30181818181819,5.002094745635986,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_106.RCP,0,141.28113286130778,5.0001678466796875,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_106.RCP,1,141.28113286130778,5.018897771835327,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_106.RCP,0,134.24696180555554,5.000577688217163,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_106.RCP,1,141.87196180555557,5.000221252441406,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_106.RCP,0,134.24696180555554,5.001424074172974,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_106.RCP,1,149.19471074380166,5.0019690990448,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_107.RCP,0,180.8106575963719,5.0085649490356445,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_107.RCP,1,197.6206428248076,5.018356084823608,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_107.RCP,0,187.92125000000001,5.000119686126709,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_107.RCP,1,165.0585141354372,5.000432014465332,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_107.RCP,0,162.62188365650968,5.001658916473389,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_107.RCP,1,165.0585141354372,5.000759124755859,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
