instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold
J30_3.RCP,1,73.43428880475932,0.2405691146850586,TS_static,43,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_4.RCP,0,72.4595041322314,0.39462876319885254,GA_roulette_single_point_random_none,55,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_4.RCP,1,75.62314049586776,0.38780808448791504,GA_roulette_single_point_random_none,55,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_4.RCP,0,76.02314049586776,0.29236888885498047,DE_rand/1_bin,55,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_4.RCP,1,63.40495867768595,0.29584717750549316,DE_rand/1_bin,55,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_4.RCP,0,97.69586776859504,0.2676889896392822,PR_forward_best,55,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_4.RCP,1,109.58677685950411,0.2845168113708496,PR_forward_best,55,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_4.RCP,0,58.095867768595035,0.24017786979675293,TS_static,55,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_4.RCP,1,54.4595041322314,0.24767327308654785,TS_static,55,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_5.RCP,0,77.02185223725284,0.40281081199645996,GA_roulette_single_point_random_none,31,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_5.RCP,1,84.82830385015606,0.40798306465148926,GA_roulette_single_point_random_none,31,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_5.RCP,0,61.98959417273673,0.2938718795776367,DE_rand/1_bin,31,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_5.RCP,1,61.02185223725287,0.29912686347961426,DE_rand/1_bin,31,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_5.RCP,0,93.98959417273672,0.2987639904022217,PR_forward_best,31,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_5.RCP,1,96.50572320499478,0.28554439544677734,PR_forward_best,31,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_5.RCP,0,53.40894901144642,0.244736909866333,TS_static,31,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_5.RCP,1,52.11862643080126,0.23623991012573242,TS_static,31,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_6.RCP,0,68.5803324099723,0.4161849021911621,GA_roulette_single_point_random_none,38,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_6.RCP,1,69.52770083102493,0.40270090103149414,GA_roulette_single_point_random_none,38,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_6.RCP,0,66.00138504155125,0.3144960403442383,DE_rand/1_bin,38,1000,0,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_6.RCP,1,65.47506925207756,0.2991139888763428,DE_rand/1_bin,38,1000,1,50.0,,,3600.0,,bin,rand/1,random,,,,,,,,,,,,,100.0,0.1,0.9,True,False,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,
J30_6.RCP,0,71.21191135734072,0.29009485244750977,PR_forward_best,38,1000,0,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_6.RCP,1,64.79085872576178,0.3006899356842041,PR_forward_best,38,1000,1,,,,3600.0,best,,,,,,,,,,,,,,,,100.0,,,,,True,,,,,,,10.0,forward,50.0,,,,,,
J30_6.RCP,0,59.8961218836565,0.24703621864318848,TS_static,38,1000,0,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_6.RCP,1,61.52770083102494,0.23520612716674805,TS_static,38,1000,1,,,,3600.0,,,,,,,,,,,,,20.0,,,,100.0,,,,,,,,,,,,,,,10.0,True,static,1.0,4.0,10.0
J30_7.RCP,0,53.92527777777778,0.4071621894836426,GA_roulette_single_point_random_none,60,1000,0,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
J30_7.RCP,1,55.72527777777779,0.4108548164367676,GA_roulette_single_point_random_none,60,1000,1,50.0,0.9,0.1,3600.0,roulette,single_point,random,random,3.0,True,True,0.5,0.1,0.35,none,5.0,2.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,
