instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,rpd
J30_5.RCP,1,63.53798126951092,0.2894749641418457,DE_current-to-rand/2_bin_fixedCR_withLS,31,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,21.91031425947368
J30_5.RCP,0,53.40894901144642,0.23989105224609375,TS_dynamic,31,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,2.475741724234314
J30_5.RCP,1,52.11862643080126,0.24122118949890137,TS_dynamic,31,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_5.RCP,0,93.98959417273672,0.30118775367736816,PR_forward_best_withLS,31,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,80.33781895140353
J30_5.RCP,1,96.50572320499478,0.28619909286499023,PR_forward_best_withLS,31,1000,1,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,85.16551531366045
J30_6.RCP,0,64.52770083102493,0.32813596725463867,DE_current-to-rand/2_bin_fixedCR_withLS,38,1000,0,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,7.732685859636971
J30_6.RCP,1,65.4224376731302,0.3053600788116455,DE_current-to-rand/2_bin_fixedCR_withLS,38,1000,1,50.0,60.0,100,0.1,0.9,False,False,current-to-rand/2,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,9.226500173430493
J30_6.RCP,0,59.8961218836565,0.3744339942932129,TS_dynamic,38,1000,0,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,0.0
J30_6.RCP,1,61.52770083102494,0.24436402320861816,TS_dynamic,38,1000,1,,60.0,100,,,,,,,,,,,,,,,10.0,20.0,True,dynamic,1.0,4.0,10.0,,,,,2.724014336917593
J30_6.RCP,0,71.21191135734072,0.295795202255249,PR_forward_best_withLS,38,1000,0,,60.0,100,,,,,,,,True,,,,,,,,,,,,,,10.0,forward,best,50.0,18.892357497976676
