instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_max_iterations,param_elite_size,param_path_strategy,param_use_local_search,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy
J30_5.RCP,0,77.02185223725284,0.40085506439208984,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_5.RCP,1,84.82830385015606,0.428386926651001,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_5.RCP,0,86.18314255983348,0.1241300106048584,PR_forward_best_noLS,31,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_5.RCP,1,96.11862643080123,0.09363627433776855,PR_forward_best_noLS,31,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_5.RCP,0,57.021852237252865,0.4032251834869385,HS_fixed_random,31,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_5.RCP,1,58.69927159209157,0.4213218688964844,HS_fixed_random,31,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_6.RCP,0,68.5803324099723,0.5116450786590576,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_6.RCP,1,69.52770083102493,0.4181208610534668,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,
J30_6.RCP,0,70.2645429362881,0.08745980262756348,PR_forward_best_noLS,38,1000,0,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_6.RCP,1,74.5803324099723,0.09576892852783203,PR_forward_best_noLS,38,1000,1,,,,60.0,best,,,,,,,,,,,,,,,,100.0,10.0,forward,False,50.0,,,,,,,,,
J30_6.RCP,0,60.159279778393355,0.4119408130645752,HS_fixed_random,38,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
J30_6.RCP,1,60.68559556786704,0.4097261428833008,HS_fixed_random,38,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed
