instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,rpd
J30_1.RCP,0,79.9342105263158,0.45908188819885254,DE_rand/2_fixedF_bin_fixedCR_noLS,38,1000,0,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,31.06796116504855
J30_1.RCP,1,77.46052631578948,0.3280518054962158,DE_rand/2_fixedF_bin_fixedCR_noLS,38,1000,1,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,27.011866235167215
J30_1.RCP,0,63.4078947368421,0.48296022415161133,PSO_none_none,38,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,3.969795037756199
J30_1.RCP,1,60.98684210526316,0.49184727668762207,PSO_none_none,38,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_1.RCP,0,63.82894736842106,0.4063601493835449,BA_none,38,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,4.660194174757297
J30_1.RCP,1,64.14473684210526,0.4141731262207031,BA_none,38,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,5.177993527508087
J30_2.RCP,0,92.69784580498867,0.3261911869049072,DE_rand/2_fixedF_bin_fixedCR_noLS,42,1000,0,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,8.348849382781504
J30_2.RCP,1,96.45975056689343,0.3329300880432129,DE_rand/2_fixedF_bin_fixedCR_noLS,42,1000,1,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,12.745910057713086
J30_2.RCP,0,92.65022675736961,0.48206591606140137,PSO_none_none,42,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,8.293190386896274
J30_2.RCP,1,85.55498866213152,0.4967517852783203,PSO_none_none,42,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_2.RCP,0,97.36451247165535,0.4228250980377197,BA_none,42,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,13.803430979532083
J30_2.RCP,1,95.36451247165532,0.46932506561279297,BA_none,42,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,11.465753152353233
J30_3.RCP,0,76.5040562466198,0.34147024154663086,DE_rand/2_fixedF_bin_fixedCR_noLS,43,1000,0,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,8.295819935691345
J30_3.RCP,1,75.34126554894537,0.34086012840270996,DE_rand/2_fixedF_bin_fixedCR_noLS,43,1000,1,50,60.0,100.0,0.1,0.9,False,False,rand/2,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,6.649823916704964
J30_3.RCP,0,70.64359113034071,0.5100631713867188,PSO_none_none,43,1000,0,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.0
J30_3.RCP,1,70.78312601406165,0.5005331039428711,PSO_none_none,43,1000,1,50,60.0,,,,,,,,,,,,,,,,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,0.1975195222783802
J30_3.RCP,0,74.36452136289887,0.5816707611083984,BA_none,43,1000,0,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,5.2671872607564225
J30_3.RCP,1,76.6901027582477,0.4381532669067383,BA_none,43,1000,1,50,60.0,,,,,,,,,,,,,,,,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,8.559179298729164
